Name,Address.Latitude,Address.Longitude,DBSCAN_labels_case1,DBSCAN_labels_case2,DBSCAN_labels_case3,DBSCAN_labels_case4
Moreno Valley East,33.937658,-117.189116,0,3,5,5
Orange Show,34.078716,-117.291844,0,3,5,5
Riverside SE,33.938916,-117.28173999999999,0,3,5,5
Fontana North,34.152152,-117.472963,0,3,5,5
Menifee,33.680105,-117.17283700000002,0,3,5,5
Fontana,34.064981,-117.434569,0,3,5,5
Riverside Arlington,33.947388000000004,-117.382433,0,3,5,5
Murrieta North,33.603888,-117.17359599999999,0,3,5,5
Grand Junction,39.09287,-108.601179,0,7,9,9
Montrose,38.443756,-107.86855,0,7,9,9
Orem State Street,40.2959,-111.69923899999999,0,8,10,10
American Fork,40.378504,-111.815253,0,8,10,10
Rancho California,33.506295,-117.14635200000001,0,3,5,5
Murrieta,33.565642,-117.20390800000001,0,3,5,5
Riverside,33.906912,-117.459627,0,3,5,5
Rancho Cucamonga,34.108228999999994,-117.573899,0,3,5,5
Ontario,34.0758,-117.561778,0,3,5,5
Lake Elsinore,33.689146,-117.341996,0,3,5,5
Eastvale,33.977914,-117.55381799999999,0,3,5,5
Upland,34.133189,-117.641221,0,3,5,5
Corona,33.826266,-117.51661399999999,0,3,5,5
Norco,33.900756,-117.564353,0,3,5,5
Montclair,34.089834,-117.69054399999999,0,3,5,5
Chino,34.032494,-117.682043,0,3,5,5
Laverne,34.11006,-117.75988600000001,0,3,5,5
Chino Hills,34.001494,-117.71824299999999,0,3,5,5
Pomona,34.034637,-117.75654399999999,0,3,5,5
Escondido,33.113107,-117.099632,0,3,5,5
Escondido South,33.069927,-117.06529099999999,0,3,5,5
San Dimas,34.104422,-117.823254,0,3,5,5
Vista,33.169156,-117.21436299999999,0,3,5,5
Rancho Santa Margarita,33.641838,-117.597587,0,3,5,5
Oceanside East,33.247039,-117.293228,0,3,5,5
Anaheim Hills,33.865805,-117.74764499999999,0,3,5,5
Diamond Bar,34.005008000000004,-117.821076,0,3,5,5
Poway,32.980582,-117.06086599999999,0,3,5,5
Palmdale East,34.574355,-118.047839,0,3,5,5
Vista South,33.13671,-117.228517,0,3,5,5
Foothill Ranch,33.676953999999995,-117.664298,0,3,5,5
Azusa,34.135589,-117.907781,0,3,5,5
San Diego Del Sur,33.020167,-117.12563300000001,0,3,5,5
West Covina,34.07412,-117.88469599999999,0,3,5,5
Oceanside,33.184026,-117.329697,0,3,5,5
Santee,32.841939,-116.98301299999999,0,3,5,5
Mission Viejo N,33.623323,-117.681618,0,3,5,5
West Covina South,34.033547,-117.91214599999999,0,3,5,5
El Cajon,32.809271,-116.958998,0,3,5,5
Mission Viejo,33.606277,-117.68881200000001,0,3,5,5
Lancaster,34.673656,-118.149399,0,3,5,5
Duarte,34.138102,-117.982918,0,3,5,5
Puente Hills,33.991768,-117.91905200000001,0,3,5,5
Orange,33.824384,-117.834997,0,3,5,5
Brea,33.918693,-117.886971,0,3,5,5
Encinitas,33.06304,-117.264711,0,3,5,5
San Clemente,33.463108,-117.60673899999999,0,3,5,5
Irvine North,33.727436,-117.78491499999998,0,3,5,5
Fullerton,33.887729,-117.877297,0,3,5,5
Palmdale,34.599359,-118.14673400000001,0,3,5,5
Irvine Spectrum,33.64795,-117.740077,0,3,5,5
East Orange,33.787208,-117.825177,0,3,5,5
Baldwin Park,34.06949,-117.977457,0,3,5,5
Aliso Viejo,33.570957,-117.70531299999999,0,3,5,5
Rancho San Diego,32.738795,-116.93853,0,3,5,5
Mira Mesa,32.910813,-117.14631299999999,0,3,5,5
Grossmont,32.779717,-117.012303,0,3,5,5
Santa Ana,33.759257,-117.85070400000001,0,3,5,5
Irvine,33.685581,-117.812576,0,3,5,5
Tustin,33.69995,-117.828042,0,3,5,5
La Habra,33.916115000000005,-117.956657,0,3,5,5
Fullerton South,33.858511,-117.927687,0,3,5,5
Santa Ana NW,33.761461,-117.88748500000001,0,3,5,5
West Fullerton,33.87942,-117.961619,0,3,5,5
Pasadena East,34.147096999999995,-118.085751,0,3,5,5
Garden Grove Harbor,33.787031,-117.913614,0,3,5,5
Whittier,33.943006,-117.996039,0,3,5,5
Anaheim,33.831711999999996,-117.942535,0,3,5,5
Irvine University Town Center,33.649956,-117.83833700000001,0,3,5,5
Rosemead,34.074952,-118.07006799999999,0,3,5,5
Lemon Grove,32.74126,-117.055525,0,3,5,5
Santa Ana,33.702754999999996,-117.886981,0,3,5,5
Kearny Mesa,32.816365000000005,-117.151026,0,3,5,5
Chula Vista East,32.649071,-116.96910700000001,0,3,5,5
Balboa,32.822049,-117.17929299999999,0,3,5,5
Buena Park,33.857675,-118.001071,0,3,5,5
Pasadena,34.146769,-118.13473799999998,0,3,5,5
Santa Fe Springs,33.937929,-118.047758,0,3,5,5
Brookhurst,33.761503000000005,-117.95591499999999,0,3,5,5
Costa Mesa,33.682425,-117.917837,0,3,5,5
Pico Rivera,34.001125,-118.085999,0,3,5,5
San Diego Mission Valley,32.767561,-117.15090500000001,0,3,5,5
Alhambra,34.090945,-118.14749599999999,0,3,5,5
Cypress,33.803731,-118.012902,0,3,5,5
San Diego South Park,32.726859999999995,-117.12903999999999,0,3,5,5
Norwalk East,33.917962,-118.07613,0,3,5,5
Westminster,33.725383,-117.98629,0,3,5,5
